,class,fine_class,text,target
0,TRS,K2E,영어로 상자가 뭐에요?,상자
1,TRS,K2E,영어로 댄스가 뭐에요?,댄스
2,TRS,K2E,영어로 건너서가 뭐에요?,건너서
3,TRS,K2E,영어로 승리가 뭐에요?,승리
4,TRS,K2E,영어로 설명하다가 뭐에요?,설명하다
5,TRS,K2E,영어로 머리가 뭐에요?,머리
6,TRS,K2E,영어로 저녁 식사가 뭐에요?,저녁 식사
7,TRS,K2E,영어로 스위치가 뭐에요?,스위치
8,TRS,K2E,영어로 팔다가 뭐에요?,팔다
9,TRS,K2E,영어로 주기가 뭐에요?,주기
10,TRS,K2E,영어로 고치다가 뭐에요?,고치다
11,TRS,K2E,영어로 노래가 뭐에요?,노래
12,TRS,K2E,영어로 댄스가 뭐에요?,댄스
13,TRS,K2E,영어로 달러가 뭐에요?,달러
14,TRS,K2E,영어로 댄스가 뭐에요?,댄스
15,TRS,K2E,영어로 상자가 뭐에요?,상자
16,TRS,K2E,영어로 미터가 뭐에요?,미터
17,TRS,K2E,영어로 스웨터가 뭐에요?,스웨터
18,TRS,K2E,영어로 아버지가 뭐에요?,아버지
19,TRS,K2E,영어로 함께가 뭐에요?,함께
20,TRS,K2E,영어로 보통의가 뭐에요?,보통의
21,TRS,K2E,영어로 상자가 뭐에요?,상자
22,TRS,K2E,영어로 가르치다가 뭐에요?,가르치다
23,TRS,K2E,영어로 이해하다가 뭐에요?,이해하다
24,TRS,K2E,영어로 교회에가 뭐에요?,교회에
25,TRS,K2E,영어로 이가 뭐에요?,이
26,TRS,K2E,영어로 주사위가 뭐에요?,주사위
27,TRS,K2E,영어로 전화가 뭐에요?,전화
28,TRS,K2E,영어로 단계가 뭐에요?,단계
29,TRS,K2E,영어로 표가 뭐에요?,표
30,TRS,K2E,영어로 공기가 뭐에요?,공기
31,TRS,K2E,영어로 가스가 뭐에요?,가스
32,TRS,K2E,영어로 종료가 뭐에요?,종료
33,TRS,K2E,영어로 바닷가가 뭐에요?,바닷가
34,TRS,K2E,영어로 하여야 한다가 뭐에요?,하여야 한다
35,TRS,K2E,영어로 테니스가 뭐에요?,테니스
36,TRS,K2E,영어로 비누가 뭐에요?,비누
37,TRS,K2E,영어로 베이스가 뭐에요?,베이스
38,TRS,K2E,영어로 그곳에가 뭐에요?,그곳에
39,TRS,K2E,영어로 네가 뭐에요?,네
40,TRS,K2E,영어로 줄자가 뭐에요?,줄자
41,TRS,K2E,영어로 음주가 뭐에요?,음주
42,TRS,K2E,영어로 ...에서가 뭐에요?,...에서
43,TRS,K2E,영어로 컴퓨터가 뭐에요?,컴퓨터
44,TRS,K2E,영어로 시가 뭐에요?,시
45,TRS,K2E,영어로 시가 뭐에요?,시
46,TRS,K2E,영어로 떨어져가 뭐에요?,떨어져
47,TRS,K2E,영어로 우표가 뭐에요?,우표
48,TRS,K2E,영어로 샐러드가 뭐에요?,샐러드
49,TRS,K2E,영어로 가위가 뭐에요?,가위
50,TRS,K2E,영어로 요구가 뭐에요?,요구
51,TRS,K2E,영어로 보내다가 뭐에요?,보내다
52,TRS,K2E,영어로 브러시가 뭐에요?,브러시
53,TRS,K2E,영어로 요리가 뭐에요?,요리
54,TRS,K2E,영어로 저녁 식사가 뭐에요?,저녁 식사
55,TRS,K2E,영어로 울음 소리가 뭐에요?,울음 소리
56,TRS,K2E,영어로 저녁 식사가 뭐에요?,저녁 식사
57,TRS,K2E,영어로 우유가 뭐에요?,우유
58,TRS,K2E,영어로 알고있다가 뭐에요?,알고있다
59,TRS,K2E,영어로 드라이브가 뭐에요?,드라이브
60,TRS,K2E,영어로 타기가 뭐에요?,타기
61,TRS,K2E,영어로 놓다가 뭐에요?,놓다
62,TRS,K2E,영어로 포인트가 뭐에요?,포인트
63,TRS,K2E,영어로 표가 뭐에요?,표
64,TRS,K2E,영어로 호랑이가 뭐에요?,호랑이
65,TRS,K2E,영어로 크기가 뭐에요?,크기
66,TRS,K2E,영어로 ...에가 뭐에요?,...에
67,TRS,K2E,영어로 전화가 뭐에요?,전화
68,TRS,K2E,영어로 팔다가 뭐에요?,팔다
69,TRS,K2E,영어로 뭐가 뭐에요?,뭐
70,TRS,K2E,영어로 캠프가 뭐에요?,캠프
71,TRS,K2E,영어로 가로 질러 가다가 뭐에요?,가로 질러 가다
72,TRS,K2E,영어로 말하다가 뭐에요?,말하다
73,TRS,K2E,영어로 기호가 뭐에요?,기호
74,TRS,K2E,영어로 중지가 뭐에요?,중지
75,TRS,K2E,영어로 얻다가 뭐에요?,얻다
76,TRS,K2E,영어로 아니가 뭐에요?,아니
77,TRS,K2E,영어로 후가 뭐에요?,후
78,TRS,K2E,영어로 서비스가 뭐에요?,서비스
79,TRS,K2E,영어로 근처에가 뭐에요?,근처에
80,TRS,K2E,영어로 연기가 뭐에요?,연기
81,TRS,K2E,영어로 예가 뭐에요?,예
82,TRS,K2E,영어로 앉다가 뭐에요?,앉다
83,TRS,K2E,영어로 열다가 뭐에요?,열다
84,TRS,K2E,영어로 함께가 뭐에요?,함께
85,TRS,K2E,영어로 차가 뭐에요?,차
86,TRS,K2E,영어로 으로가 뭐에요?,으로
87,TRS,K2E,영어로 에가 뭐에요?,에
88,TRS,K2E,영어로 후가 뭐에요?,후
89,TRS,K2E,영어로 바닷가가 뭐에요?,바닷가
90,TRS,K2E,영어로 보트가 뭐에요?,보트
91,TRS,K2E,영어로 말하다가 뭐에요?,말하다
92,TRS,K2E,영어로 ...을 통하여가 뭐에요?,...을 통하여
93,TRS,K2E,영어로 빨래가 뭐에요?,빨래
94,TRS,K2E,영어로 여자 형제가 뭐에요?,여자 형제
95,TRS,K2E,영어로 크기가 뭐에요?,크기
96,TRS,K2E,영어로 엄마가 뭐에요?,엄마
97,TRS,K2E,영어로 변화가 뭐에요?,변화
98,TRS,K2E,영어로 팔다가 뭐에요?,팔다
99,TRS,K2E,영어로 할 수있다가 뭐에요?,할 수있다
100,TRS,K2E,영어로 일주가 뭐에요?,일주
101,TRS,K2E,영어로 대단히가 뭐에요?,대단히
102,TRS,K2E,영어로 쉬다가 뭐에요?,쉬다
103,TRS,K2E,영어로 택시가 뭐에요?,택시
104,TRS,K2E,영어로 상처가 뭐에요?,상처
105,TRS,K2E,영어로 듣다가 뭐에요?,듣다
106,TRS,K2E,영어로 상자는 무엇인가?,상자
107,TRS,K2E,영어로 댄스는 무엇인가?,댄스
108,TRS,K2E,영어로 건너서는 무엇인가?,건너서
109,TRS,K2E,영어로 승리는 무엇인가?,승리
110,TRS,K2E,영어로 설명하다는 무엇인가?,설명하다
111,TRS,K2E,영어로 머리는 무엇인가?,머리
112,TRS,K2E,영어로 저녁 식사는 무엇인가?,저녁 식사
113,TRS,K2E,영어로 스위치는 무엇인가?,스위치
114,TRS,K2E,영어로 팔다는 무엇인가?,팔다
115,TRS,K2E,영어로 주기는 무엇인가?,주기
116,TRS,K2E,영어로 고치다는 무엇인가?,고치다
117,TRS,K2E,영어로 노래는 무엇인가?,노래
118,TRS,K2E,영어로 댄스는 무엇인가?,댄스
119,TRS,K2E,영어로 달러는 무엇인가?,달러
120,TRS,K2E,영어로 댄스는 무엇인가?,댄스
121,TRS,K2E,영어로 상자는 무엇인가?,상자
122,TRS,K2E,영어로 미터는 무엇인가?,미터
123,TRS,K2E,영어로 스웨터는 무엇인가?,스웨터
124,TRS,K2E,영어로 아버지는 무엇인가?,아버지
125,TRS,K2E,영어로 함께는 무엇인가?,함께
126,TRS,K2E,영어로 보통의는 무엇인가?,보통의
127,TRS,K2E,영어로 상자는 무엇인가?,상자
